,company_link_0,company_link_1,company_link_2,company_link_3,company_name
64,,,,,118testing
65,,,,,12-14 pharmacy
66,0.0,,,,121 covicall
67,0.0,,,,121 pure testing
68,,,,,123 clinics
69,2.8,,,,123 covid labs
70,,,,,123clinics
71,1.4,,,,123covidtests
72,,1.4,,,123tests.co.uk
73,3.7,,,,15 minute covid test
74,2.7,,,,1affordabletest
75,2.7,,,,1affordabletest.com
76,3.3,,,,1corporate covid tests
77,,2.2,,,1rapid clinics
78,2.1,,,,1st class testing
79,2.1,,,,1st class testing ltd
80,,,,,1west end medical practice uk
81,,,,,1west end medical practice uk ltd
82,,,,,1westendmedicalpracticeuk
83,3.7,,,,20/30 labs
84,2.7,,,,247 travel tests
85,1.6,,,,247hometesting
86,1.6,,,,247hometesting.com
87,,,,,258 postal racoo screening ltd
88,0.0,,,,29 fleet street ltd
89,0.0,,,,29 fleet street ltd t/a fleet street clinic
90,0.0,,,,3a covid testing limited
91,4.4,,,,3six health
92,3.4,,,,4 medical testing
93,3.9,,,,@01a my express testing
94,,,,,@corona tests
95,,,,,@covid19 health clinics limited
96,3.8,,,,@harley street nurses (t/a harley street nurses ltd)
97,4.3,,,,a hasu diagnostics
98,0.0,,,,a1 covid testing
99,0.0,,,,a1 global testing limited
100,0.0,,,,a1 track&travel
101,,,,,abbeycovidscreening
102,0.0,,,,abg covic ltd
103,3.2,,,,abicare health
104,3.2,,,,abicare health solutions
105,3.2,,,,abicare health solutions ltd (riva health)
106,2.8,,,,accendolab limited
107,,,,,ace-thetix
108,,,,,acethetix
109,,,,,acethetix testing services
110,,,,,acorn occupational health ltd
111,0.0,,,,advisa  medica
112,0.0,0.0,,,advisa medica
113,,2.5,,,aeromedical consulting uk
114,0.0,,,,aesthetika clinic
115,,,,,af aesthetics (enoura medical)
116,,,,,affinity health
117,,,,,afforable tfnow
118,,,,,agg coventry ltd ta vantage chemist
119,0.0,,,,agilis health
120,0.0,0.0,,,ais covid testing ltd
121,0.0,,,,al-shadhilli ltd
122,4.4,,,,alexandru livinschi (t/a bai long ltd)
123,4.4,,,,alexandru livinschi (t/a gat c-19)
124,4.7,,,,all healthcare
125,4.6,,,,alphabiolabs
126,,,,,alphamedicol ltd
127,,,,,alphamedicol ltd.
128,3.7,,,,ambulance services 24 ltd
129,0.0,,,,ambutech pre-hospital care
130,0.0,,,,amin pharmacy
131,,,,,an sf screening and vaccination service
132,0.0,,,,analysis1
133,0.0,,,,andres pharmacy
134,0.0,,,,anglia dna services
135,,,,,anglo belgravia
136,4.3,,,,apollo testing
137,3.9,,,,arrival diagnostics
138,0.0,,,,arrival test centre
139,,2.9,,,arriving uk
140,2.9,,,,arrivinguk
141,3.7,,,,ask chemist
142,4.4,,,,assured screening
143,,,,,assured screening.com
144,4.4,,,,assuredscreening.com
145,,,,,atlas medical services ltd
146,,,,,atropa blood clinic
147,0.0,,,,atruchecks
148,,,,,audley pharmacy
149,4.6,,,,avante health ltd
150,4.6,,,,avante health private gp
151,0.0,,,,avery labs
152,0.0,,,,avicenna health
153,0.0,,,,bansals pharmacy
154,0.0,,,,bansals pharmacy (southend on sea)
155,0.0,,,,"bansals pharmacy (southend on sea),"
156,,,,,barkerhouse pharmacy
157,0.0,,,,baseline medicine
158,4.4,,,,bestway national chemists t/a well pharmacy ltd
159,4.2,,,,better2know
160,2.6,,,,biograd diagnostic laboratories
161,3.7,,,,biograd diagnostics
162,4.0,,,,biogroup laboratory
163,,,,,biolab london ltd
164,0.0,,,,biotherapy services
165,,,,,black and banton
166,4.9,,,,blackburn travel clinic
167,3.0,3.0,,,blindspot global
168,3.0,,,,blindspot global ltd
169,1.8,1.8,,,blue horizon medicals
170,,,,,book a travel test
171,4.0,,,,boots uk
172,,,,,bristol travel clinic
173,1.9,1.9,,,brunswick hygiene
174,1.9,1.9,,,brunswick hygiene ltd
175,4.4,,,,bupa occupational health ltd
176,4.4,,,,bupa occupational health ltd.
177,,,,,c & h esher limited (t/a central pharmacy)
178,,,,,c & h esher ltd
179,,,,,"c & h esher ltd t/a central pharmacy, esher"
180,,,,,c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus
181,,,,,"c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus, using c-19 direct uk lab alliance by cambrige clinical laboratories & nonocus"
182,4.9,,,,c19 testing
183,,,,,calder pharmacy & medspa clinic
184,,,,,calder pharmacy & medspa clinic notting hill
185,,,,,calder pharmacy & medspa clinic of notting hill
186,,,,,caliber medical services
187,,,,,candarin medical
188,,,,,caxton pharmacy
189,0.0,0.0,,,centennial medical care
190,,,,,chase lodge hospital
191,4.3,,,,chb medical
192,4.3,,,,chb medical ltd
193,2.8,3.9,,,check my body health
194,,,,,chelsea medical
195,0.0,,,,chelsea pharmacy medical clinic
196,0.0,,,,"cheltenham, west midlands & worcester travel clinics"
197,0.0,,,,"cheltenham, worcester & west midlands travel clinics"
198,0.0,,,,"cheltenham, worcester and west midlands travel clinics"
199,,3.3,,,chhp and ceritific
200,3.7,,,,chronomics
201,,4.9,,,cht
202,,,,,church pharmacy
203,,,,,church pharmacy weybridge
204,0.0,,,,churchill's pharmacy
205,4.5,,,,cignpost diagnostics
206,2.9,,,,circular 1 health ltd
207,3.9,,,,citydoc medical
208,3.9,,,,citydoc medical limited
209,4.5,,,,ck doctors covid travel clinics
210,4.3,,,,claret diagnostics ltd
211,0.0,,,,clear diagnostics
212,0.0,,,,clear diagnostics ltd
213,,,,,clinicare uk
214,4.7,,,,clnq
215,3.2,,,,coker chest clinic
216,,,,,collingwood health
217,4.3,,,,collinson
218,3.3,,,,complete covid tests
219,4.6,,,,concepto clinic
220,0.0,,,,concierge medical
221,0.0,,,,concierge medical practice
222,3.3,,,,confirm testing
223,3.3,,,,confirm testing limited
224,3.4,,,,consultant clinic
225,4.1,,,,coop pharmacy
226,4.6,,,,corona test centre
227,0.0,,,,corona testing
228,0.0,,,,corona-testing
229,1.8,,,,coronafocus by oncologica uk
230,1.8,,,,coronafocus by oncologica uk ltd (t/a oncologica uk ltd)
231,3.3,,,,corporate covid tests
232,,,,,cosmebeaute
233,,,,,courtfield private practice
234,2.8,,,,cov19 care
235,,2.8,,,cov19care ltd
236,2.7,,,,covguard
237,2.7,,,,covguard premium
238,0.0,,,,covid 19 private test ltd
239,,,,,covid clear clinic
240,,,,,"covid fit to fly tes t/a nash travel, tourism and transport services ltd."
241,,,,,covid mobile health services/remote trauma ld
242,3.5,3.5,,,covid smart limited
243,2.0,,,,covid test
244,0.0,,,,covid test centre
245,,,,,covid test hub
246,,,,,covid test pick and drop
247,,,,,covid test today
248,0.0,,,,covid testing laboraratories
249,0.0,,0.0,,covid testing laboratories
250,,,,,covid testing laboratories ltd
251,4.5,,,,covid travel clinics
252,3.1,3.1,,,covid-19 travel clinic
253,,,,,covid19 checking
254,,,,,covid19 health clinics limited
255,3.5,,,,covidfly
256,0.0,,,,covido
257,,,,,covitests
258,,,,,coyne medical
259,,,,,coyne medical ltd
260,4.4,4.4,,,cq doctor
261,0.0,0.0,,,crown laboratories ltd
262,,,,,cryo express
263,3.8,,,,ct24 solutions ltd
264,0.0,,,,ctm (nhs t&t)
265,,,,,d&a screening ltd
266,,,,,dajani pharmacy
267,1.7,1.7,,,dante labs
268,0.0,,,,daya pharmacy
269,4.7,,,,dears pharmacy & travel clinic
270,,,,,dgc health ltd
271,,,,,digital health group ltd t/a pharma diagnostics
272,2.2,,,,dna workplace
273,,4.6,,,dochq.co.uk
274,4.3,,,,doctap
275,4.3,,,,doctap ltd
276,2.8,,,,doctor driver assessment ltd
277,4.4,,,,doctorcall limited
278,1.7,,,,doctors clinic group
279,4.5,,,,doctors covid travel clinics
280,,,,,dorset private gp
281,0.0,,,,dr mo private clinic
282,,,,,dr mo private clinic norwich
283,,,,,dr shilpa dave private gp teddington
284,,,,,dr tim lebens
285,,,,,dr wayne cottrell
286,,,,,"dr wayne cottrell, private gp canary wharf"
287,,,,,dr. shilpa dave private gp teddington
288,,,,,dr. wayne cotrell & co.
289,,,,,duality health
290,,,,,east midlands laser and cosmetic clinic ltd
291,,,,,easter pharmacy
292,0.0,,,,easy testing
293,0.0,,,,easy testing ltd
294,,,,,edgbaston private medical practice
295,,,,,edgcare private community family doctors
296,0.0,,,,effect doctors
297,,,,,elements medical
298,,,,,elite safety clinic
299,,,,,em analytical ltd
300,,,,,empire medicines ltd t/a empire pharmacy
301,,,,,enoura medical (af aesthetics)
302,,,,,epistem
303,0.0,,,,est-health wellness clinic
304,2.1,,,,eurofins
305,2.1,,,,eurofins forensic services
306,2.1,,,,eurofins forensic services ltd
307,0.0,,,,everwell chinese medical centre ltd
308,2.0,,,,everything genetic
309,0.0,,,,everything genetic limited
310,2.0,0.0,,,everything genetic ltd
311,0.0,,,,everythinggeneticlimited
312,,,,,evolve medical
313,0.0,,,,excalibur diagnostics ltd
314,3.1,,,,expert covid testing uk
315,3.0,,,,expert doctors
316,1.4,,,,expert medicals
317,3.1,,,,expert tms limited
318,3.9,,,,express testing
319,4.5,,,,expresstest by cignpost diagnostics
320,,,,,fakir chemist
321,,,,,family medics
322,,,,,first medical consultants
323,4.0,4.0,,,fit to fly uk
324,3.2,,,,fit2fly test ltd
325,4.0,,,,fit2fly24/7 ltd
326,,,,,fitnessgenes
327,,,,,flow living medi-care services
328,4.7,,,,flysurance
329,,,,,forensic genomics innovation hub ltd
330,0.0,,,,fusion pharmacy
331,3.8,,,,fusion radiology
332,3.8,,,,fusion radiology ltd
333,4.7,,,,future health technologies
334,4.7,,,,future health technologies limited
335,3.2,,,,future healthcare ltd
336,2.9,,,,g16 covid testing
337,4.0,,,,genesis support (t/a fit to fly uk)
338,0.0,,,,ghosh medical group
339,,,,,global covid19 testing
340,,,,,global express travel health clinic
341,,,,,global express travel health clinic ltd
342,,,,,global health travel clinic
343,,,,,global health travel clinic - longcross surrey
344,4.4,,,,good egg medical
345,,,,,good egg medical limited
346,0.0,,,,goodbody clinic
347,3.2,,,,gpdq
348,3.2,,,,gpdq ltd
349,,,,,guildhall pharmacy
350,3.5,,,,hale clinic harley street
351,4.3,,,,halo verify
352,3.7,,,,hampshire travel clinic
353,,,,,"hampstead heath pharmacy, travel health & vaccination clinic"
354,4.4,4.4,,,harley medic international
355,4.0,,,,harley street dr
356,3.8,,,,harley street nurses
357,3.8,,,,harley street nurses ltd
358,,,,,harleys pharmacy
359,3.8,,,,harleystreet
360,,,,,harper institute ltd
361,,,,,harper medical ltd
362,4.4,,,,harveyrhys clinic
363,,,,,hawkes health
364,0.0,,,,heald green pharmacy
365,,,,,healthclic
366,0.0,,,,healthium clinics
367,,,,,healthwork
368,,,,,healthwork ltd
369,0.0,,,,healthyaa clinic
370,,,,,heart lung centre
371,,,,,heathrow medical services
372,,,,,heathrow medical services llp
373,0.0,,,,helix services limited also t/a travel test assured
374,3.4,,,,herts
375,2.5,,,,hhh diagnostics
376,3.5,,,,home2lab
377,,,,,https://private-testing-providers.london.cloudapps.digital/refresh-cache?id=750482
378,3.4,,,,i-gen testing
379,3.4,,,,i-gen testing limited
380,0.0,,,,ihomecare
381,,,,,ingleton pharmacy
382,,,,,insta care solutions limited
383,4.0,,,,iq  doctor
384,4.0,,,,iq doctor
385,4.0,,,,iqdoctor
386,,,,,isac labs ltd
387,0.0,,,,jace medical
388,2.7,,,,jdoc medical limited
389,2.7,,,,jdoc medical limited ( t/a jdoc365)
390,2.7,,,,jdoc medical limited (t/a jdoc365)
391,,,,,jdoc medical linited (t/a jdoc365)
392,2.9,,,,john bell & croyden
393,,,,,js biomedical ltd
394,,,,,just health
395,,,,,katalyst laboratories
396,0.0,,,,kings medical centre
397,2.9,,,,klarity
398,0.0,,,,klinical enterprises ltd t/a national covid testing
399,,,,,knightsbridge pharmacy
400,1.6,,,,kurix health
401,,,,,kyl healthcare services limited t/as the honeybee private nurse clinic
402,,,,,la perla clinic
403,3.1,,,,labmedexpert
404,3.1,,,,labmedexpert limited
405,,,,,laser and light
406,,,,,leeds covid testing
407,,,,,leeds covid testing ltd
408,0.0,0.0,,,leigh broadway pharmacy (elm road)
409,,,,,lifecrest ltd trading as (lifecrest medical laboratory)
410,0.0,,,,linbury doctors
411,2.7,,,,live covid testing
412,,4.2,,,local pcr
413,,,,,locaton medical services ltd
414,4.1,,,,london corona test centre
415,4.7,,,,london covid testing
416,,,,,london elite health
417,4.4,,,,london medical concierge
418,4.7,,,,london medical laboratory
419,4.7,,,,london medical laboratory / private coronavirus tests
420,,,,,london nutrition doctor
421,,,,,london screening centre
422,,,,,london screening street
423,,4.5,,,london vaccination clinic
424,,,,,longridge travel health clinic
425,0.0,,,,lord's pharmacy
426,3.1,,,,lyca health
427,0.0,,,,mare st clinic
428,2.0,,,,masta
429,,,,,masters (uk) limited t/a nechells pharmacy and masters pharmacy
430,0.0,,,,masters pharmacy
431,3.7,,,,mayfair doctors
432,,,,,mayfair pharmacy
433,3.7,,,,mayfield clinic
434,3.4,,,,mdna life sciences
435,3.4,,,,mdna life sciences (uk) ltd
436,,,,,mdx healthcare ltd t/a medix
437,0.0,,,,me360 healthcare limited t/a me360 testing services
438,0.0,,,,me360 healthcare ltd t/a me360 testing services
439,0.0,,,,me360 testing services
440,0.0,,,,med24 limited
441,,,,,medchecks
442,,0.0,,,medi-park clinic
443,0.0,,,,medi-swift
444,0.0,,,,medic 1 direct
445,4.5,,,,medic testing
446,,,,,medical
447,0.0,,,,medical and rescue
448,0.0,,,,medical and rescue - london and lhr
449,,,,,medical covid test
450,3.6,,,,medical diagnosis
451,,,,,medical logistics
452,,,,,medical logistics / samedaycoronavirustests.com
453,3.4,,,,medical testing
454,3.1,,,,medicines online
455,3.1,,,,medicines online ltd
456,4.1,,,,medicspot
457,,,,,medinow
458,,,,,mediscan diagnostic services
459,,,,,medplus test
460,4.6,,,,medwyn occupational health
461,0.0,,,,mhf medical concierge
462,3.2,,,,midland covid testing
463,,,,,midland covid testing limited
464,3.1,,,,midland health
465,,,,,midlands ultrasound and medical services
466,,,,,mildcare ltd
467,4.0,,,,minton treharne & davies laboratories
468,4.0,,,,minton treharne & davies laboratories limited
469,0.0,,,,mk18 private medical practice
470,2.5,,,,mlp
471,0.0,,,,mobihealth international
472,,,,,moore medical practice
473,,,,,msh medical
474,4.9,,,,msi clinics
475,4.9,,,,msi clinics limited
476,3.9,,,,my express testing
477,3.9,,,,my express testing uk
478,0.0,,,,my local travel clinic
479,2.5,,,,my london pharmacy
480,,,,,my private chemist
481,4.3,,,,myhealthcare clinic
482,4.1,,,,myhealthchecked
483,0.0,,,,national covid testing (klinical enterprises ltd)
484,2.7,,,,nationwide pathology
485,2.7,,,,nationwide pathology limited
486,,,,,nechells pharmacy and masters pharmacy
487,,0.0,,,new street pharmacy
488,0.0,,,,new street pharmacy t/a the travel vaccine room
489,3.4,,,,newcastle premier health
490,,,,,nhl pharmacy
491,,,,,nivha laboratory services ltd
492,,,,,"nivha laboratory services ltd, randox"
493,,,,,nivha laboratory services ltd.
494,2.6,,,,nl clinic
495,3.1,,,,nomad
496,3.1,,,,nomad travel
497,,,,,north and north west london covid tests
498,,,,,north devon travel clinic
499,0.0,,,,northend clinic
500,0.0,,,,northway clinic
501,,,,,nottinghamshire
502,1.9,,,,now test
503,3.4,,,,nph group
504,,,,,nutraceuticals laboratory london limited
505,0.0,,,,nx healthcare
506,,,,,objective health ltd
507,,2.5,,,occupational health bristol
508,0.0,,,,occupational health prime
509,,3.6,,,olive health & travel clinic
510,0.0,,,,one scientic ltd
511,0.0,,,,one scientific ltd
512,0.0,,,,one scientific ltd.
513,3.7,,,,one5 health
514,3.3,,,,optimized body &  mind
515,3.3,,,,optimized body & mind
516,,,,,optipharm pharmacy
517,0.0,,,,orchard clinic / orchard blood
518,4.2,,,,oscartech uk
519,,,,,outcome diagnostics
520,,1.4,,,outcome diagnostics (outcomedx)
521,1.4,,,,outcome diagnostics t/a 123 tests
522,4.4,,,,oxford covid tests
523,4.6,,,,pall mall medical (manchester) limited
524,0.0,,,,pcr labs
525,0.0,,,,pcrtravel ltd london
526,0.0,,,,pct healthcare
527,0.0,,,,"pct healthcare t/a peak pharmacy, manor pharmacy, cox-robinson pharmacy"
528,0.0,,,,pennfields pharmacy
529,,,,,peplobio
530,3.1,,,,pexpo diagnostic
531,3.1,,,,pexpo diagnostics
532,0.0,,,,pharmacy led clinic
533,,,,,pharmasuite
534,3.2,,,,pharmesthetics ltd
535,3.2,,,,pharmesthetics ltd (t/a http://www.samedayclinic.co.uk)
536,,,,,physiofunction
537,,,,,physiowork therapy uk ltd
538,3.3,,,,pillhub-feltham pharmacy
539,3.2,,,,polaris medical services ltd
540,0.0,,,,premier clinic ltd
541,,,,,private gp clinic
542,0.0,,,,private gp services uk ltd
543,,,,,private gp teddington
544,3.3,,,,private harley street clinic
545,,,,,private-testing-providers london cloudapps digital refresh
546,0.0,,,,project olive lindfield limited
547,4.0,,,,project screen by prenetics
548,1.8,,,,protein technologies ltd / rapiditydx
549,1.8,,,,protein technologies ltd t/a as rapiditydx
550,1.8,,,,protein technologies t/a rapiditydx
551,0.0,,,,proviris solutions
552,,,,,pt diagnostics
553,,4.1,,,pulmonics
554,,,,,pulteney pharmacy
555,,,,,pureflo health ltd
556,,,,,pyramid pharmacy
557,,,,,pyramid pharmacy bermondsey
558,,,,,pyramid pharmacy woolwich
559,,0.0,,,pyser testing
560,,,,,queen anne street medical centre
561,,,,,quest medical
562,3.3,,,,quick clinics
563,,,,,quick meds
564,,,,,quick meds using labmedexpert
565,3.9,,,,qured
566,4.2,4.2,,,rainbow labs
567,,,,,ramss
568,,,,,ramss limited
569,3.4,,,,randox health airport testing
570,0.0,,,,randox health liverpoolone
571,3.4,,,,randox health london limited
572,3.3,,,,randox laboratories
573,3.3,,,,randox laboratories ltd
574,0.0,,,,rapid covid testing
575,0.0,,,,rapid health test
576,,,,,rapid pcr
577,1.8,,,,rapiditydx
578,0.0,,,,rb health and safety solutions ltd
579,3.2,3.2,,,rb healthcare ltd
580,,,,,reading fit to fly
581,,,,,reading fit to fly/oxford road clinics ltd
582,0.0,,,,recovery4life
583,,,,,red 1 response
584,,,,,remedi health
585,,,,,remedys pharmacy
586,,,,,remedys pharmacy w9
587,,,,,research consultancy and health ltd
588,,,,,reviv uk
589,3.7,,,,rightangled
590,,,,,rivahealth
591,,,,,roc health services
592,0.0,,,,roc private clinic
593,0.0,,,,rosalyn’s medical and wellbeing clinic
594,,,,,roshni clinic
595,1.9,,,,rt diagnostics
596,3.2,,,,same day clinic
597,,,,,samedaydoctor
598,3.3,,,,samedaydoctor canary wharf
599,3.3,,,,samedaydoctor city clinic
600,,,,,samedaydoctor manchester
601,,,,,saunders pharmacy
602,0.0,,,,scotnursing & medical services (snms)
603,4.1,4.1,,,screen4
604,0.0,,,,sevenoaks gp t/a the private gp clinic
605,,,,,shakib&neale limitd (107 harley street)
606,,,,,shantys pharmacy
607,3.4,0.0,,,sirkka networks limited
608,4.0,4.0,,,site lt
609,,,,,skc occupational health
610,,,,,skc occupational health oxford
611,,,,,sloane square medical
612,3.7,,,,sloane street testing
613,,,,,solice health ltd
614,,,,,solihull health check clinic
615,3.5,,,,somdoc ltd / home2lab
616,,,,,sorcha biotech
617,4.4,,,,source bioscience
618,4.4,,,,south west london covid 19 testing centre
619,4.4,,,,south west london covid-19 centre
620,0.0,,,,southdowns private healthcare
621,3.8,,,,sterling testing
622,3.6,,,,summerfield healthcare
623,,,,,sussex healthcare solutions ltd
624,0.0,,,,synlab
625,0.0,,,,t consultants
626,0.0,0.0,,,t consultants ltd
627,,,,,"t/a nash travel, tourism and transport services ltd"
628,,3.2,,,tac healthcare group
629,,,,,tamsel (uk) ltd
630,,,,,test assurance group
631,,,,,test for now
632,,,,,test for now ltd
633,4.5,,,,test to you
634,4.3,,,,testing for all
635,1.9,,,,testngo
636,,,,,the bridge clinic
637,,,,,the city & travel clinic
638,,,,,the clinic mk ltd
639,,,,,the express clinic
640,3.2,,,,the guildhall practice
641,3.2,,,,the health clinic by ar
642,3.2,,,,the health clinic by ar limited
643,0.0,,,,the health suite
644,,,,,the hove practice
645,0.0,,,,the london general practice
646,,,,,the mayfair gp
647,,,,,the mayfair gp clinic
648,4.7,,,,the medic clinic
649,,,,,the melton clinic
650,4.7,,,,the montague clinic
651,,,,,the new foscote hospital
652,,,,,the palace gate practice limited
653,0.0,,,,the pharmacy at mayfair and clinic
654,4.4,,,,the regenerative clinic
655,0.0,,,,the travel health clinic
656,0.0,,,,the travel vaccine room
657,3.8,,,,the walcote practice
658,,,,,the wellness people ltd
659,3.2,,,,the whitehall clinic
660,,,,,thechemistlive.co.uk
661,4.9,,,,top health clinic
662,,,,,totley pharmacy ltd
663,,,,,tower bridge wellness pharmacy
664,,,,,tp healthcare services
665,,,,,tp healthcare services limited
666,,,,,tp healthcare services ltd
667,1.4,,,,travel 19
668,,,,,travel centre
669,,,,,travel centre clapham
670,,,,,travel centre clapham ltd
671,,,,,travel klinix
672,0.0,,,,travel test centre ltd
673,4.9,,,,treated.com
674,,,,,trio pharmacy
675,0.0,4.4,,,tuli health
676,0.0,,,,uk covid test centre
677,0.0,,,,uk event medics
678,0.0,,,,uk event medics limited
679,,,,,uk event medics ltd
680,2.9,,,,uk health testing
681,0.0,,,,uk testing arrival centre
682,,,,,ukcovidtest
683,0.0,,,,vaccination uk ltd
684,0.0,,,,vanite clinic
685,,,,,visithealth limited
686,,,,,vista pharmacy
687,,,,,vitacheck
688,,,,,vitox
689,4.6,,,,vivo clinic
690,0.0,,,,vsm pharmacy
691,,,,,well pharmacy (bestway national chemists ltd)
692,,,,,well pharmacy (bestway national chemists)
693,0.0,,,,west midlands
694,0.0,,,,weston road pharmacy
695,4.3,,,,westwood pharmacy
696,0.0,,,,winchester gp
697,,,,,woodsetton pharmacy
698,,,,,world travel clinic
699,,,,,worldwide travel health clinic
700,4.9,,,,wren healthcare
701,,,,,"www.covidfittoflytest.co.uk t/a nash travel, tourism and transport services ltd."
702,0.0,,,,xana medtec
703,0.0,,,,xana medtec ltd
704,0.0,,,,yakub chemist
705,,,,,your doctor film and media
706,3.2,,,,your gp circle
707,,0.0,,,your health first
708,0.0,,,,your health first ltd
709,0.0,,,,your private health
710,,,,,yourhealthfirst clinic
711,4.5,,,,ypchealth
712,0.0,0.0,,,zava
713,4.8,,,,zen healthcare
714,4.8,,,,zen healthcare (purecare ltd)
715,4.8,4.8,,,zoomdoc
716,4.8,,,,zoomdoc health
