company_name,Assignments,email_invalid,phone_invalid,num_matches,num_jumps,max_change,registered_name,is_registered,trustpilot_score,score_category,is_reviewed
zen healthcare,1,False,False,4.0,2.0,42.75,zen healthcare services ltd,True,,,
pyramid pharmacy,1,False,False,4.0,1.0,24.43324937027708,,False,,No Score,False
chelsea pharmacy medical clinic,1,False,False,2.0,1.0,2.0408163265306123,,False,,No Score,False
0+g16 covid testing,0,False,False,4.0,4.0,395.0,,False,2.9,2-3,True
occupational health bristol,1,True,False,1.0,3.0,412.9520389843549,abel occupational health resolutions ltd,True,,No Score,False
calder pharmacy & medspa clinic notting hill,1,True,False,3.0,2.0,45.0,,False,,No Score,False
epistem,1,True,False,1.0,0.0,0.0,,False,2.1,2-3,True
private gp services uk ltd,1,True,False,1.0,0.0,0.0,private gp services (uk) limited,True,,No Score,False
healthwork ltd,1,True,False,2.0,0.0,0.0,,False,,No Score,False
nottinghamshire,1,True,False,1.0,0.0,0.0,nottinghamshire county council ,True,,No Score,False
minton treharne & davies laboratories limited,1,True,False,2.0,2.0,26.31578947368421,,False,,No Score,False
nhl pharmacy,1,True,True,7.0,1.0,9.789343246592312,,False,,No Score,False
halo verify,1,True,True,1.0,1.0,10.674157303370784,,False,4.4,4-5,True
the guildhall practice,1,False,False,1.0,0.0,0.0,friends of the guildhall c.i.c.,True,,No Score,False
remedys pharmacy,1,True,False,2.0,0.0,0.0,,False,,No Score,False
masters (uk) limited t/a nechells pharmacy and masters pharmacy,1,False,False,4.0,1.0,6.666666666666667,,False,,No Score,False
pt diagnostics,1,True,True,6.0,3.0,42.18009478672986,cignpost diagnostics limited,True,,No Score,False
test for now,1,True,False,2.0,0.0,0.0,,False,4.3,4-5,True
g16 covid testing,0,False,False,4.0,4.0,395.0,alpha biolaboratories covid-19 testing limited,True,,No Score,False
northway clinic,1,False,False,1.0,0.0,0.0,,False,3.4,3-4,True
the new foscote hospital,1,True,False,1.0,1.0,83.33333333333334,,False,4.4,4-5,True
uk event medics ltd,1,True,False,2.0,0.0,0.0,uk event medics limited,True,,No Score,False
abicare health solutions,1,False,False,3.0,4.0,241.33333333333331,,False,2.8,2-3,True
ambulance services 24 ltd,1,False,False,1.0,0.0,0.0,,False,,No Score,False
protein technologies ltd t/a as rapiditydx,1,True,False,2.0,0.0,0.0,,False,,No Score,False
masters pharmacy,1,False,False,4.0,1.0,6.666666666666667,,False,3.7,3-4,True
doctors clinic group,1,True,False,1.0,1.0,9.58904109589041,,False,,No Score,False
lifecrest ltd trading as (lifecrest medical laboratory),1,True,False,2.0,0.0,0.0,lifecrest trading ltd,True,4.2,4-5,True
pulteney pharmacy,1,False,False,1.0,0.0,0.0,,False,,No Score,False
enoura medical (af aesthetics),1,False,False,2.0,0.0,0.0,,False,2.1,2-3,True
rosalyn’s medical and wellbeing clinic,1,False,False,2.0,0.0,0.0,,False,3.2,3-4,True
chelsea medical,1,True,False,2.0,0.0,0.0,chelsea medics llp,True,,No Score,False
zoomdoc,1,True,False,2.0,2.0,26.595744680851062,zoomdoctor limited,True,,,
1 covclinics,0,True,False,1.0,9.0,324.975,,False,3.4,3-4,True
mk18 private medical practice,1,False,False,2.0,0.0,0.0,kings hill private medical practice limited,True,,No Score,False
mlp,1,True,False,1.0,1.0,700.40020010005,mlp wealth management ltd,True,,No Score,False
woodsetton pharmacy,1,False,False,2.0,1.0,4.10958904109589,,False,,No Score,False
+247 travel tests,1,False,False,2.0,3.0,70.93023255813954,,False,2.7,2-3,True
101 covid travel clinic,1,True,False,3.0,2.0,97.35099337748343,,False,4.5,4-5,True
rb healthcare ltd,1,False,False,2.0,1.0,15.485564304461944,r.b. healthcare properties limited,True,,No Score,False
myhealthcare clinic,1,True,False,1.0,1.0,35.714285714285715,,False,2.7,2-3,True
church pharmacy weybridge,1,True,False,2.0,0.0,0.0,,False,2.9,2-3,True
a hasu diagnostics,1,False,False,1.0,0.0,0.0,,False,,No Score,False
coyne medical ltd,1,False,False,3.0,0.0,0.0,,False,,No Score,False
