company_name,registered_name,is_registered
protein technologies ltd t/a as rapiditydx,,False
protein technologies t/a rapiditydx,,False
proviris solutions,,False
pt diagnostics,cignpost diagnostics limited,True
pulmonics,,False
pulteney pharmacy,,False
pureflo health ltd,,False
pyramid pharmacy,,False
pyramid pharmacy bermondsey,,False
pyramid pharmacy woolwich,,False
pyser testing,,False
queen anne street medical centre,,False
quest medical,quest medical development ltd,True
quick clinics,,False
quick meds,quickmeds limited,True
quick meds using labmedexpert,,False
qured,quredebt limited,True
rainbow labs,,False
ramss,,False
ramss limited,,False
randox health airport testing,,False
randox health liverpoolone,,False
randox health london limited,,False
randox laboratories,,False
randox laboratories ltd,,False
rapid covid testing,,False
rapid health test,,False
rapid pcr,,False
rapiditydx,,False
rb health and safety solutions ltd,,False
rb healthcare ltd,r.b. healthcare properties limited,True
reading fit to fly,,False
reading fit to fly/oxford road clinics ltd,,False
recovery4life,recovery 4 life limited,True
red 1 response,,False
remedi health,,False
remedys pharmacy,,False
remedys pharmacy w9,,False
research consultancy and health ltd,,False
reviv uk,reviv uk ltd,True
rightangled,right angle design limited,True
rivahealth,riva health and beauty limited,True
roc health services,,False
roc private clinic,the belvedere private clinic limited,True
rosalyn’s medical and wellbeing clinic,,False
roshni clinic,,False
rt diagnostics,rsv diagnostics ltd,True
same day clinic,,False
samedaydoctor,samedaydoctor city limited,True
samedaydoctor canary wharf,canary wharf2 llc ,True
samedaydoctor city clinic,,False
samedaydoctor manchester,,False
saunders pharmacy,,False
scotnursing & medical services (snms),scotnursing & medical services limited,True
screen4,screen4paws ltd,True
sevenoaks gp t/a the private gp clinic,,False
shakib&neale limitd (107 harley street),,False
shantys pharmacy,,False
sirkka networks limited,sunart networks limited,True
site lt,,False
skc occupational health,,False
skc occupational health oxford,,False
sloane square medical,,False
sloane street testing,,False
solice health ltd,,False
solihull health check clinic,,False
somdoc ltd / home2lab,,False
sorcha biotech,,False
source bioscience,,False
south west london covid 19 testing centre,,False
south west london covid-19 centre,,False
southdowns private healthcare,,False
sterling testing,sterling testing limited,True
summerfield healthcare,summerfields healthcare limited,True
sussex healthcare solutions ltd,,False
synlab,synlab uk limited,True
t consultants,tinworth consultants ab ,True
t consultants ltd,independant training and education consultants ltd,True
"t/a nash travel, tourism and transport services ltd",,False
tac healthcare group,,False
tamsel (uk) ltd,,False
test assurance group,,False
test for now,,False
test for now ltd,,False
test to you,,False
testing for all,,False
testngo,,False
the bridge clinic,,False
the city & travel clinic,,False
the clinic mk ltd,,False
the express clinic,,False
the guildhall practice,friends of the guildhall c.i.c.,True
the health clinic by ar,,False
the health clinic by ar limited,,False
the health suite,,False
the hove practice,,False
the london general practice,the london general practice limited,True
the mayfair gp,,False
the mayfair gp clinic,the mayfair skin clinic limited,True
the medic clinic,,False
the melton clinic,,False
the montague clinic,,False
the new foscote hospital,,False
the palace gate practice limited,,False
the pharmacy at mayfair and clinic,,False
the regenerative clinic,the regenerative clinic ltd,True
the travel health clinic,the travel and health clinic llp,True
the travel vaccine room,,False
the walcote practice,,False
the wellness people ltd,the wellness people ltd,True
the whitehall clinic,,False
thechemistlive.co.uk,,False
top health clinic,,False
totley pharmacy ltd,,False
tower bridge wellness pharmacy,,False
tp healthcare services,tp healthcare ltd,True
tp healthcare services limited,tp healthcare ltd,True
tp healthcare services ltd,tp healthcare ltd,True
